Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 3,1502320729.2310476,248.7575,1551.25964,-15.374
Fiber 4,1502320729.2310476,248.7575,1550.60186,-19.402


Fiber 1,1502320747.2310731,248.7575,1553.7443,-10.536
Fiber 2,1502320747.2310731,248.7575,1556.30514,-9.384
Fiber 3,1502320747.2310731,248.7575,1551.25986,-15.352
Fiber 4,1502320747.2310731,248.7575,1550.60188,-19.372


Fiber 1,1502320764.7310975,248.7585,1553.74398,-10.48
Fiber 2,1502320764.7310975,248.7585,1556.3053,-9.426
Fiber 3,1502320764.7310975,248.7585,1551.25866,-15.35
Fiber 4,1502320764.7310975,248.7585,1550.60148,-19.404


Fiber 1,1502320782.7411225,248.7575,1553.74498,-10.488
Fiber 2,1502320782.7411225,248.7575,1556.306,-9.426
Fiber 3,1502320782.7411225,248.7575,1551.25882,-15.36
Fiber 4,1502320782.7411225,248.7575,1550.60146,-19.394


Fiber 1,1502320800.231147,248.7545,1553.74474,-10.472
Fiber 2,1502320800.231147,248.7545,1556.30624,-9.386
Fiber 3,1502320800.231147,248.7545,1551.26004,-15.32
Fiber 4,1502320800.231147,248.7545,1550.60194,-19.374


Fiber 1,1502320817.7311716,248.754,1553.74428,-10.514
Fiber 2,1502320817.7311716,248.754,1556.30556,-9.424
Fiber 3,1502320817.7311716,248.754,1551.26002,-15.31
Fiber 4,1502320817.7311716,248.754,1550.6022,-19.354


Fiber 1,1502320890.2312732,248.7545,1553.74428,-10.498
Fiber 2,1502320890.2312732,248.7545,1556.30608,-9.442
Fiber 3,1502320890.2312732,248.7545,1551.25996,-15.352
Fiber 4,1502320890.2312732,248.7545,1550.6032,-19.406


Fiber 1,1502320953.7413619,248.752,1553.74366,-10.5
Fiber 2,1502320953.7413619,248.752,1556.30542,-9.438
Fiber 3,1502320953.7413619,248.752,1551.25966,-15.414
Fiber 4,1502320953.7413619,248.752,1550.60208,-19.404


Fiber 1,1502321016.75145,248.754,1553.74438,-10.518
Fiber 2,1502321016.75145,248.754,1556.30586,-9.472
Fiber 3,1502321016.75145,248.754,1551.25968,-15.288
Fiber 4,1502321016.75145,248.754,1550.60254,-19.344


Fiber 1,1502321079.7515385,248.758,1553.74438,-10.476
Fiber 2,1502321079.7515385,248.758,1556.30548,-9.388
Fiber 3,1502321079.7515385,248.758,1551.25894,-15.356
Fiber 4,1502321079.7515385,248.758,1550.60276,-19.382


Fiber 1,1502321274.7418115,248.76049999999998,1553.74394,-10.532
Fiber 2,1502321274.7418115,248.76049999999998,1556.30538,-9.414
Fiber 3,1502321274.7418115,248.76049999999998,1551.25948,-15.374
Fiber 4,1502321274.7418115,248.76049999999998,1550.6025,-19.366


Fiber 1,1502321292.7418365,248.761,1553.74402,-10.512
Fiber 2,1502321292.7418365,248.761,1556.30628,-9.428
Fiber 3,1502321292.7418365,248.761,1551.25908,-15.36
Fiber 4,1502321292.7418365,248.761,1550.60124,-19.31


Fiber 1,1502321311.2518625,248.7615,1553.74406,-10.544
Fiber 2,1502321311.2518625,248.7615,1556.30532,-9.42
Fiber 3,1502321311.2518625,248.7615,1551.2596,-15.352
