Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.7432,1556.30502,1551.84144,1550.59868
1501109679.620152,1553.1220850000002,248.843

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 1,1501111981.1884668,248.8675,1553.74356,-10.496
Fiber 2,1501111981.1884668,248.8675,1556.30424,-9.392
Fiber 3,1501111981.1884668,248.8675,1551.84156,-15.426
Fiber 4,1501111981.1884668,248.8675,1550.59762,-19.414


Fiber 1,1501112044.6785583,248.864,1553.74378,-10.492
Fiber 2,1501112044.6785583,248.864,1556.30382,-9.392
Fiber 3,1501112044.6785583,248.864,1551.84154,-15.398
Fiber 4,1501112044.6785583,248.864,1550.59878,-19.368


Fiber 1,1501112107.1786482,248.859,1553.7434,-10.52
Fiber 2,1501112107.1786482,248.859,1556.30486,-9.454
Fiber 3,1501112107.1786482,248.859,1551.84056,-15.416
Fiber 4,1501112107.1786482,248.859,1550.59794,-19.38


Fiber 1,1501112170.186239,248.85750000000002,1553.74358,-10.52
Fiber 2,1501112170.186239,248.85750000000002,1556.30496,-9.38
Fiber 3,1501112170.186239,248.85750000000002,1551.84112,-15.428
Fiber 4,1501112170.186239,248.85750000000002,1550.5984,-19.358


Fiber 1,1501112232.6964269,248.8585,1553.74382,-10.488
Fiber 2,1501112232.6964269,248.8585,1556.30422,-9.396
Fiber 3,1501112232.6964269,248.8585,1551.84222,-15.404
Fiber 4,1501112232.6964269,248.8585,1550.5987,-19.356


Fiber 1,1501112295.1865141,248.861,1553.74372,-10.492
Fiber 2,1501112295.1865141,248.861,1556.30482,-9.402
Fiber 3,1501112295.1865141,248.861,1551.84178,-15.412
Fiber 4,1501112295.1865141,248.861,1550.59894,-19.41


Fiber 1,1501112357.6966016,248.865,1553.74364,-10.464
Fiber 2,1501112357.6966016,248.865,1556.30466,-9.366
Fiber 3,1501112357.6966016,248.865,1551.8414,-15.412
Fiber 4,1501112357.6966016,248.865,1550.59902,-19.452


Fiber 1,1501112420.6966898,248.865,1553.74344,-10.468
Fiber 2,1501112420.6966898,248.865,1556.30412,-9.378
Fiber 3,1501112420.6966898,248.865,1551.84144,-15.386
Fiber 4,1501112420.6966898,248.865,1550.59904,-19.434


Fiber 1,1501112483.1967776,248.86,1553.74304,-10.464
Fiber 2,1501112483.1967776,248.86,1556.30434,-9.332
Fiber 3,1501112483.1967776,248.86,1551.84096,-15.432
Fiber 4,1501112483.1967776,248.86,1550.5984,-19.362


Fiber 1,1501112545.7068648,248.848,1553.74278,-10.456
Fiber 2,1501112545.7068648,248.848,1556.30456,-9.384
Fiber 3,1501112545.7068648,248.848,1551.84134,-15.436
Fiber 4,1501112545.7068648,248.848,1550.59808,-19.422


Fiber 1,1501112608.2069523,248.833,1553.7428,-10.496
Fiber 2,1501112608.2069523,248.833,1556.30438,-9.396
Fiber 3,1501112608.2069523,248.833,1551.84102,-15.45
Fiber 4,1501112608.2069523,248.833,1550.59874,-19.424


